Date,Open,High,Low,Close,Volume
2005-06-24,8400,8780,7160,7790,2258783
2005-06-27,7890,7890,7150,7180,425481
2005-06-28,7300,7590,6970,7150,376146
2005-06-29,7110,7390,6950,6950,306093
2005-06-30,6880,7070,6540,6550,435582
2005-07-01,6540,6630,6300,6400,463517
2005-07-04,6400,6580,6400,6460,325138
2005-07-05,6480,6690,6460,6480,367471
2005-07-06,6480,6590,6330,6390,269417
2005-07-07,6350,6420,6250,6300,277411
2005-07-08,6370,6490,6320,6390,396060
2005-07-11,6450,6780,6400,6610,495052
2005-07-12,6600,6670,6330,6330,264063
2005-07-13,6330,6500,6250,6450,296443
2005-07-14,6450,6540,6330,6330,225135
2005-07-15,6330,6380,5960,6050,375756
2005-07-18,6060,6170,6010,6050,147602
2005-07-19,6130,6400,6050,6130,565440
2005-07-20,6130,6260,5880,5880,319142
2005-07-21,5880,6010,5640,5670,195836
2005-07-22,5620,5680,5350,5490,284579
2005-07-25,5300,5500,5300,5350,288539
2005-07-26,5400,5450,5320,5350,250864
2005-07-27,5420,5560,5390,5420,251939
2005-07-28,5440,5740,5430,5640,382813
2005-07-29,5730,5760,5590,5700,207673
2005-08-01,5720,5760,5590,5600,97642
2005-08-02,5700,6160,5700,5790,535595
2005-08-03,5840,5900,5460,5470,186818
2005-08-04,5590,5590,5250,5280,234833
2005-08-05,5110,5200,4995,5000,170692
2005-08-08,4910,5170,4910,5040,154821
2005-08-09,5040,5230,5040,5150,101969
2005-08-10,5300,5340,5200,5200,134038
2005-08-11,5190,5320,5150,5320,152706
2005-08-12,5300,5460,5300,5460,60820
2005-08-16,5500,5500,5170,5200,79428
2005-08-17,5130,5240,5110,5110,37843
2005-08-18,5090,5300,5030,5030,65203
2005-08-19,5050,5210,5020,5200,93607
2005-08-22,5100,5260,5090,5110,57737
2005-08-23,5110,5200,5060,5160,115626
2005-08-24,5130,5180,5070,5090,86486
2005-08-25,5100,5140,5000,5000,135479
2005-08-26,5000,5200,4925,5140,146472
2005-08-29,5110,5130,4995,5090,100622
2005-08-30,5090,5460,5090,5380,314575
2005-08-31,5350,5470,5230,5300,191080
2005-09-01,5370,5550,5220,5350,255618
2005-09-02,5360,5670,5360,5670,326207
2005-09-05,5750,5790,5550,5630,225016
2005-09-06,5640,5700,5550,5640,139747
2005-09-07,5730,5730,5500,5500,195554
