Date,Open,High,Low,Close,Volume
2009-11-19,15000,17000,14600,15850,15203367
2009-11-20,16250,17600,16050,17100,4814195
2009-11-23,17400,17550,16900,17450,2362689
2009-11-24,17500,18050,16750,17200,2152119
2009-11-25,17100,17650,16650,17600,1199297
2009-11-26,17500,19050,17500,18400,2108599
2009-11-27,17950,19150,17650,18250,2076680
2009-11-30,19000,19050,18300,18750,1310639
2009-12-01,18750,18900,17050,17550,1769513
2009-12-02,18000,18050,17400,17550,752439
2009-12-03,17700,18450,17500,18100,1234675
2009-12-04,18150,18600,17800,18450,1044694
2009-12-07,18450,18600,17950,18200,724370
2009-12-08,18200,18350,17900,18250,355453
2009-12-09,18300,18750,18100,18300,789081
2009-12-10,18300,18400,17950,18300,386583
2009-12-11,18550,20650,18500,20350,2554934
2009-12-14,20600,21000,20150,20850,1255512
2009-12-15,20850,20850,19900,20000,1114454
2009-12-16,20000,20750,19800,20650,903013
2009-12-17,20700,20850,20000,20200,712698
2009-12-18,19900,20300,19600,20250,629625
2009-12-21,20250,20900,19800,20900,928012
2009-12-22,21350,21550,20900,21100,912391
2009-12-23,21200,21400,20600,20900,508405
2009-12-24,20900,21100,20600,21000,621865
2009-12-28,21000,21200,20500,20500,672001
2009-12-29,20000,20000,19050,19650,893926
2009-12-30,19600,19900,18600,19650,835787
2010-01-04,19850,19850,19150,19750,543934
2010-01-05,19900,20950,19850,20750,878137
2010-01-06,20750,21100,20050,20700,523757
2010-01-07,20700,20900,20300,20450,480432
2010-01-08,20450,23100,20450,22700,1590474
2010-01-11,23100,24000,22250,23100,968473
2010-01-12,23150,23700,22500,23650,583660
2010-01-13,23350,24050,22950,23850,709754
2010-01-14,23950,24000,23400,23500,298868
2010-01-15,23500,23500,22300,22300,673120
2010-01-18,22350,22800,21750,22150,448170
2010-01-19,22200,22200,21400,21700,630112
2010-01-20,21900,23050,21750,22500,775504
2010-01-21,22300,22900,22000,22000,340669
2010-01-22,21650,21950,20600,21350,914637
2010-01-25,20800,21850,20700,21650,345964
2010-01-26,21850,22250,21300,21600,434137
2010-01-27,21600,22300,21150,22200,419905
2010-01-28,22550,22600,21650,21900,568630
2010-01-29,21450,21650,20800,21250,230763
2010-02-01,21000,21200,20250,20850,279520
2010-02-02,21200,21900,20750,21850,419095
2010-02-03,22000,22500,21450,22200,387673
2010-02-04,22300,22850,22050,22750,379569
2010-02-05,21900,22650,21600,22450,439009
2010-02-08,22700,23050,22200,22700,400489
2010-02-09,22650,23200,22650,23050,304843
2010-02-10,23200,23250,22800,23150,242810
2010-02-11,23100,23100,22250,22900,464183
2010-02-12,22650,22700,22200,22300,245232
2010-02-16,22100,22150,21600,22150,324740
2010-02-17,22300,22600,21900,22500,227254
2010-02-18,22450,23150,22400,23000,546328
2010-02-19,22900,23850,22650,23450,915832
2010-02-22,23700,24500,23650,24450,913633
2010-02-23,24450,25400,24150,24700,736810
2010-02-24,24450,25550,24450,25300,586644
2010-02-25,25300,25300,24200,24800,454888
2010-02-26,24650,25050,24200,25050,272074
2010-03-02,25050,25400,24600,25400,222171
2010-03-03,25200,25500,25000,25050,217880
2010-03-04,25000,25700,24400,25000,502062
2010-03-05,24900,25450,24800,25300,179564
2010-03-08,25700,25700,25200,25550,189453
2010-03-09,25300,25700,25150,25700,194005
2010-03-10,25700,26150,25450,26000,220999
2010-03-11,26050,26650,25750,26300,349217
2010-03-12,26400,26900,26150,26700,162905
2010-03-15,26900,26900,26300,26500,140151
2010-03-16,26650,26800,25500,26350,404136
2010-03-17,26500,26700,25750,26700,389677
2010-03-18,26300,26350,25100,25700,832357
2010-03-19,25350,25700,25250,25400,264394
2010-03-22,25000,25350,24100,25200,374313
2010-03-23,25200,25700,24600,24600,314995
2010-03-24,24600,24750,23950,24350,356081
2010-03-25,24050,24300,23600,24100,409934
2010-03-26,24000,24450,24000,24200,302626
2010-03-29,24000,24050,23650,23950,182343
2010-03-30,24200,24950,23950,24400,365359
2010-03-31,24400,25000,24400,24500,265192
2010-04-01,24500,24700,24150,24650,184906
2010-04-02,24400,24600,23300,23400,355789
2010-04-05,23200,23200,21900,22650,321981
2010-04-06,22950,23150,22350,23100,166197
2010-04-07,23200,23900,23150,23900,143514
2010-04-08,23600,23800,23000,23800,174289
2010-04-09,23550,23700,22800,23500,207098
2010-04-12,23800,23800,23100,23350,163288
2010-04-13,23500,24200,23400,24200,191719
2010-04-14,24400,24500,23800,24500,204201
2010-04-15,24500,24600,23900,24250,162298
2010-04-16,24200,24600,23900,24250,165634
2010-04-19,23650,23950,23400,23450,126008
