Date,Open,High,Low,Close,Volume
2012-10-19,22500,25850,21500,24500,3696906
2012-10-22,24000,28150,23300,28150,2488615
2012-10-23,29750,31650,26250,26600,3593525
2012-10-24,26550,29450,25450,27250,2480632
2012-10-25,27500,28150,24900,25800,1050155
2012-10-26,25150,26500,24500,26250,922611
2012-10-29,26000,27000,25800,26050,418469
2012-10-30,26400,29900,26300,29500,1669989
2012-10-31,29950,30400,28800,29000,740738
2012-11-01,28950,32600,28600,31000,1746104
2012-11-02,31250,32850,30600,31100,988778
2012-11-05,30800,31500,30300,30800,491158
2012-11-06,30800,30800,29200,29850,539051
2012-11-07,30350,34300,30200,32850,2214492
2012-11-08,32900,34500,32850,33000,1298660
2012-11-09,32850,32900,31200,32500,491701
2012-11-12,32550,33900,32500,33500,529297
2012-11-13,33500,34400,31850,32400,725826
2012-11-14,32500,32850,31600,32250,365669
2012-11-15,31800,32000,27450,29950,1498429
2012-11-16,29200,30900,27200,28350,609923
2012-11-19,28800,29750,28250,28700,392146
2012-11-20,29000,29050,27350,28600,409983
2012-11-21,29100,30200,28500,29800,902868
2012-11-22,30350,30350,29050,29500,452952
2012-11-23,29900,29900,28550,29400,268316
2012-11-26,29400,29400,28050,28250,234567
2012-11-27,28000,28250,26650,27100,406844
2012-11-28,27000,27900,26900,27300,234720
2012-11-29,27700,31300,27400,30350,1250358
2012-11-30,30200,30650,29450,30550,363365
2012-12-03,30450,30750,29550,30400,280495
2012-12-04,31100,32150,30550,30850,742450
2012-12-05,31050,32000,30000,31000,565928
2012-12-06,30900,31450,26900,28250,958953
2012-12-07,27750,28950,27250,28350,454626
2012-12-10,28250,28800,27650,28700,227817
2012-12-11,28700,29000,27000,27150,275754
2012-12-12,26600,28550,26250,27700,740734
2012-12-13,27600,27900,27150,27650,278572
2012-12-14,27750,28300,27550,28100,257019
2012-12-17,27850,28200,27300,27350,160212
2012-12-18,27350,27500,26500,27100,174741
2012-12-20,27100,27250,25350,25550,288777
2012-12-21,25200,26400,24700,26300,336931
2012-12-24,26300,27800,25800,27150,306582
2012-12-26,27300,27550,26850,27250,150872
2012-12-27,26950,27900,26950,27700,116600
2012-12-28,27700,28500,27350,28450,168516
2013-01-02,28900,28900,27700,28000,181940
2013-01-03,27850,28000,27000,27350,291619
2013-01-04,27150,27800,27100,27100,133496
2013-01-07,27250,28350,26950,28350,200585
2013-01-08,28400,28800,28050,28200,185391
2013-01-09,28550,28950,28250,28950,229828
2013-01-10,29150,30450,29050,30200,517627
2013-01-11,30350,31400,29900,31150,471480
2013-01-14,31350,31800,30850,31550,332104
2013-01-15,31300,31450,30350,31050,324746
2013-01-16,31350,31400,30750,31000,192871
2013-01-17,30800,30950,29250,29400,366216
2013-01-18,29700,30400,29400,30250,157098
2013-01-21,30600,31000,29900,31000,178023
2013-01-22,31000,31250,30350,30500,120041
2013-01-23,30700,30700,29300,29300,216819
2013-01-24,29300,29600,28550,29200,145116
2013-01-25,29500,30250,29400,29850,133044
2013-01-28,29650,29850,28600,28750,159064
2013-01-29,28450,30100,28450,29200,334492
2013-01-30,29100,29200,28650,28700,108503
2013-01-31,28750,29250,28600,29250,79042
2013-02-01,28500,29900,28500,29600,175149
2013-02-04,29750,30400,29500,30050,191127
2013-02-05,30050,30200,29550,30000,129333
2013-02-06,29950,30300,29350,29350,170761
2013-02-07,29250,29450,27900,28050,292932
2013-02-08,27900,28250,27800,28250,125222
2013-02-12,28100,28500,27900,27900,77059
2013-02-13,27850,28300,27850,27950,95331
2013-02-14,27850,28100,27200,27350,266448
2013-02-15,27400,28000,27400,27600,160286
2013-02-18,27850,28100,27750,27950,93093
2013-02-19,28000,29350,28000,29300,290016
2013-02-20,29650,29750,28900,29400,200691
2013-02-21,29200,29400,28900,29050,114708
2013-02-22,29150,29500,29000,29000,78614
2013-02-25,29450,30250,29350,30000,400146
2013-02-26,29900,30650,29650,30550,286681
2013-02-27,30700,31150,30400,31050,279987
2013-02-28,31200,31250,30400,30850,190401
2013-03-04,30800,31250,30100,30100,197019
2013-03-05,30100,31800,30100,31800,347785
2013-03-06,31950,32500,31450,31800,299269
2013-03-07,32000,32500,31600,32250,214617
2013-03-08,32300,32600,31600,32350,181462
2013-03-11,32600,33450,31750,33000,333232
2013-03-12,33050,33550,32800,32850,203733
